Raw.file,Condition,BioReplicate,Run,IsotopeLabelType
UK181,CTRL,1,1,none
UK182,CTRL,1,2,none
UK183,CTRL,1,3,none
UK184,CTRL,1,4,none
UK185,CTRL,1,5,none
UK186,CTRL,1,6,none
UK187,CTRL,1,8,none
UK188,CTRL,1,9,none
UK189,CTRL,1,10,none
UK190,CTRL,1,11,none
UK191,CTRL,1,12,none
UK192,CTRL,1,13,none
UK193,CTRL,1,14,none
UK194,CTRL,1,15,none
UK195,CTRL,1,16,none
UK196,CTRL,1,17,none
UK197,CTRL,1,18,none
UK198,CTRL,1,19,none
UK199,CTRL,1,20,none
UK200,CTRL,1,21,none
UK201,CTRL,1,22,none
UK202,CTRL,1,23,none
UK203,CTRL,1,24,none
UK204,CTRL,1,25,none
UK205,CTRL,1,26,none
UK206,CTRL,1,27,none
UK207,CTRL,1,28,none
UK208,CTRL,1,29,none
UK209,CTRL,1,30,none
